t,o,h,l,Price,v,RSI,MACD,MACD Signal,5d_ma,200d_ma,invested_capital_movement,Invested Capital,buy,sell,available_capital,quantities,stop_loss,position_size,gross_profit,gross_loss,Portfolio worth
2015-12-22,35.5,35.549999,35.299999,34.143429,5700,46.52547044608692,-0.09544130412388796,0.007487149391496677,34.16268620000001,33.24916191499999,0,28000.0,False,False,3513.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36222.948283000005
2015-12-23,35.810001,35.810001,35.650002,34.432293,21500,52.310253864822215,-0.07572368735028334,-0.009155017956859326,34.09336020000001,33.260620084999985,0,28000.0,False,False,3513.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36499.679995000006
2015-12-24,35.720001,35.720001,35.52,34.475967,4600,53.19358385673612,-0.055928498284345096,-0.01850971402235648,34.13290780000001,33.273403944999984,0,28000.0,False,False,3513.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36541.519687
2015-12-29,35.700001,36.16,35.700001,35.0098,10300,62.88837205500987,0.002802883442917903,-0.014247194529301606,34.408246600000005,33.28770154499998,0,28000.0,False,False,3513.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,37052.931701
2015-12-30,36.07,36.07,35.75,34.699203000000004,14300,55.21122180455828,0.02400858840367448,-0.006596037942706389,34.552138400000004,33.30174601999999,0,28000.0,False,False,3513.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36755.37977500001
2015-12-31,35.650002,35.66,35.330002,34.291553,8100,46.59683776335835,0.007830054245815177,-0.0037108195050020764,34.581763200000005,33.311345094999986,0,28000.0,False,False,3513.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36364.851075000006
2016-01-04,34.139998999999996,34.5,34.099998,33.485943,50100,34.3690122948306,-0.06919985205160373,-0.016808626014322408,34.392493200000004,33.316290219999985,200,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,35793.076695
2016-01-05,34.759997999999996,34.759997999999996,34.279999,33.408297999999995,102300,33.39446301822993,-0.1349562190703537,-0.040438144625528666,34.178959400000004,33.31906580999999,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,35718.692785
2016-01-06,33.959998999999996,34.279999,33.810001,33.0783,24600,29.317725530541722,-0.2112614044090364,-0.07460279658223021,33.792659400000005,33.320191409999985,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,35402.55470100001
2016-01-07,33.549999,33.700001,33.02,32.097977,22000,20.668839611464392,-0.3468395364617436,-0.1290501445581329,33.2724142,33.315019234999994,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,34463.40526700001
2016-01-08,33.32,33.41,32.740002000000004,31.787384000000003,131500,18.65679622912279,-0.4738857819564686,-0.19801727203780006,32.771580400000005,33.308823649999994,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,34165.85717300001
2016-01-11,33.0,33.0,32.389998999999996,31.923269,21000,22.466894578673504,-0.5571832018516858,-0.2698504580005772,32.45904560000001,33.30374078499999,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,34296.03500300001
2016-01-12,33.27,33.34,32.849998,32.233864000000004,22600,30.991745681275674,-0.5913182379308282,-0.3341440139866274,32.22415880000001,33.30439939499999,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,34593.58501300001
2016-01-13,33.439999,33.439999,31.99,31.069134000000002,40200,21.0006819500655,-0.7042364771617144,-0.4081625066216449,31.82232560000001,33.29952321999999,0,28200.0,False,False,3713.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,33477.77367300001
